epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1044.2,1.30262,3.34854,1.24172,1.67586,0.92346,0.75512,0.88538,0.56466,0.87889,0.71495,0.80828,0.44286,1.32588,2.46745,1.13412,1.74069,0.00203452,0.00203452,0.00203452
58,1064.11,1.23977,3.31306,1.20045,1.63383,0.85356,0.76089,0.86862,0.50806,0.8207,0.7089,0.76602,0.40551,1.42408,2.61402,1.34323,1.81779,0.00195769,0.00195769,0.00195769
59,1082.87,1.22564,3.21492,1.16007,1.61116,0.91897,0.78903,0.88574,0.5062,0.85052,0.73313,0.77734,0.40742,1.42388,2.60457,1.26138,1.81067,0.0018814,0.0018814,0.0018814
60,1098.43,1.24,3.27119,1.21456,1.6292,0.80474,0.6509,0.76846,0.4593,0.76433,0.58739,0.67531,0.31742,1.34041,3.09179,1.46734,1.72699,0.00180572,0.00180572,0.00180572
61,1114.41,1.21642,3.23411,1.18166,1.62298,0.92243,0.74725,0.88232,0.55578,0.89553,0.71851,0.83478,0.44702,1.30971,2.36311,1.16672,1.67328,0.00173073,0.00173073,0.00173073
62,1130.15,1.21881,3.18996,1.1477,1.6162,0.82059,0.82879,0.87175,0.54939,0.78681,0.79249,0.79867,0.41837,1.31855,2.45213,1.1691,1.67827,0.0016565,0.0016565,0.0016565
63,1144.91,1.18513,3.11252,1.09721,1.59158,0.82536,0.79559,0.87503,0.5616,0.78431,0.75836,0.80697,0.42339,1.30795,2.55977,1.108,1.66808,0.00158311,0.00158311,0.00158311
64,1159.67,1.2291,3.19503,1.18509,1.6182,0.9006,0.81258,0.91113,0.58537,0.83242,0.77553,0.82549,0.43842,1.29267,2.56279,1.00413,1.65215,0.00151062,0.00151062,0.00151062
65,1175.19,1.1753,3.17453,1.12053,1.58796,0.8348,0.83524,0.88572,0.52813,0.8089,0.76569,0.77568,0.4226,1.406,2.47355,1.30691,1.7489,0.00143912,0.00143912,0.00143912
66,1190.52,1.21001,3.21429,1.15392,1.59842,0.84193,0.84028,0.89355,0.56927,0.83771,0.72381,0.77573,0.42397,1.35813,2.36253,1.12216,1.71715,0.00136866,0.00136866,0.00136866
67,1206.62,1.20842,3.13681,1.1368,1.60634,0.87901,0.8351,0.90132,0.54132,0.81179,0.77281,0.81985,0.45141,1.4448,2.38662,1.28435,1.78136,0.00129932,0.00129932,0.00129932
68,1224.08,1.21313,3.22585,1.1332,1.60461,0.84616,0.8334,0.89713,0.56428,0.82768,0.78344,0.83381,0.44813,1.30828,2.52016,1.10035,1.69885,0.00123117,0.00123117,0.00123117
69,1239.5,1.15553,3.11211,1.08839,1.57627,0.88916,0.78989,0.88899,0.55324,0.84446,0.75632,0.81523,0.45192,1.38523,2.48567,1.12805,1.77728,0.00116427,0.00116427,0.00116427
70,1257,1.16161,3.0797,1.10074,1.57099,0.90899,0.77744,0.8936,0.5413,0.88231,0.76373,0.8255,0.44913,1.40203,2.49659,1.24444,1.76475,0.0010987,0.0010987,0.0010987
71,1273.59,1.16613,3.09114,1.08635,1.57447,0.88295,0.78454,0.8927,0.54919,0.85374,0.77164,0.8306,0.45575,1.35631,2.36121,1.2218,1.71759,0.00103451,0.00103451,0.00103451
72,1290.66,1.18618,3.07972,1.08553,1.58776,0.84913,0.8207,0.90741,0.50066,0.85154,0.74984,0.82006,0.42865,1.48804,2.43109,1.13316,1.84731,0.000971765,0.000971765,0.000971765
